id;name;description;year;rating;complexity;minplayers;maxplayers;playingtime;minage;categories
3286;Holocaust;"FROM THE INTRO: 2028, a fateful year for the human race, the Third World War began about 30 years previously.  By now the world is for all practical purposes destroyed as the nuclear catastrophe descended with undreamed of disastrous effects on the human race.  The face of the earth is changed and numerous areas around the globe are contaminated and destroyed.  Now mankind must fight against aliens, mutants, delinquents, looters, criminals, disease, radiation, and all the other ills the war has brought.  The main objective now is to survive and to attempt to recreate human society as much as possible.&#10;&#10;Holocaust is a fantasy board game in which a hero combats against the horrors of a world devastated by war.  He must fight for his family, find it and save it by leading it out of the devastated city towards the Road to Freedom...&#10;&#10;Each player takes the part of Michael.  With the help of the cards he must find everything he needs in the city and then travel along the Road to Freedom and thus leave the city.  An important difference with this game is that to win it, it is not necessary to come out first.  In fact, since the winner is the player with the most points, even the last to come out can be the winner.&#10;&#10;Content: 6 lead figures to be painted, 6 player cards, 181 adventure cards, 37 market cards, 6 lead cars to be painted, 1 petrol station and 2 lead repair shops to be painted, 3 dice, 400 markers, paper models to be build (optional), and rules.&#10;&#10;This game comes with rules and cards in multiple languages (Italian, French, English, and German).&#10;&#10;";1980;6.5;2.0;2;6;60;12;Fantasy, Fighting, Miniatures, Science Fiction
3287;Vier auf einen Streich;"Vier aug einen streich combines elements from the card game Memory  and the chip game Connect Four.&#10;&#10;The game consists of a deck of 16 cards with various simple images, 16 chips with corresponding images, a bag and a rule sheet.&#10;&#10;The cards are placed face-down on a table in a 4x4 grid and the chips are placed in the bag. Players take turns drawing chips out of the bag and attempt to turn over the card with the same image as indicated on the chip. If the image on the card does not match the image on the chip, the card is flipped back over and the chip is returned to the bag. If the images match, the chip is placed on the card.&#10;&#10;The winner is the person who places the chip on a card that creates a row horizontally, vertically or diagonally of 4 consecutive cards with chips on them.&#10;&#10;";2002;4.3;0.0;2;4;10;4;Children's Game, Memory
3288;Odyssee;"Delightfully graphic design has the Greeks sailing home from victory at Troy, but all around the islands on the hexagonal grid.&#10;&#10;";1995;3.83846;1.0;2;6;60;10;Ancient, Nautical
3289;Der Blaumilch-Kanal;"In digging the BlueMilk Canal, problems arise. An grown-up mix of tiles, voting, wordplay and satire, impenetrable to non-German speakers.&#10;&#10;";1999;4.14286;1.5;3;6;90;12;Word Game
3290;Maskenball Venezia;"Re-issue of Adlung's Maskenball, this time themed on a Venetian costume ball. Very nice cards. Rules in German, English &amp;  French.&#10;&#10;";1999;5.56301;1.1;5;12;20;10;Card Game, Party Game
3291;Osiris;"12 priests follow 12 gods in ancient Egypt. Players distribute support between the gods and then the priests are moved and conflict and a power struggle to reach the pinnacle of a pyramid. The game involves magnetic stickers being placed on the god and priest counters, so that a priest connects to its particular god in secret initially. One of the gods is hidden at the top of the pyramid. When it is revealed, the player who has the most supporters in that god's temple will win. Nice graphics.&#10;&#10;";1995;4.97037;2.0;2;4;60;10;Ancient
3292;Bloody Mary;"Cards &amp; dice create a game themed on cocktail drinking. The rules include a recipe for a Bloody Mary. Published in an L-shaped box.&#10;&#10;";1995;4.88889;1.0;2;6;30;16;Card Game, Dice
3293;König Artus Tafelrunde;"Trick taking card game. Knights progress around King Arthur's Round Table.&#10;&#10;Re-implements Trumpet. This version adds another kind of super-trump, and there are no board spaces for moving opponents backward.&#10;&#10;";1993;5.87857;1.6;2;6;45;10;Card Game
3294;Dumm gelaufen!;"Card game with a numbered, colored deck and another 'Murphy' deck with rules switches. Too much German text to be useful to non-gamers. Published by Ravensburger under their FX label.&#10;&#10;";1998;5.55829;1.1765;2;6;30;10;Card Game
3295;Athos;"Monks must climb Athos Mountain to reach the monastery, moving over difficult terrain. You may move your monks or draw and place tiles, which block paths with landslides. You also have 2 Athos pieces, which allow you to move a tile and lock another. Reaching the monastery gives you additional moves.&#10;&#10;";1993;5.51595;1.5;2;4;45;12;Abstract Strategy
3296;Plan-Cheroli;"In Plan-Cheroli each player has three arches which start at one corner of the board and must be moved to the opposite corner. On each turn, one arch is moved by rotating one leg of the arch around the other leg, with other pieces blocking the rotation.&#10;&#10;Several variants are included. There are chips which can be placed on the board at the start of the game to block certain spaces, creating different board configurations. Alternatively, all the spaces can be covered with chips, and the goal of the game then becomes to capture the most chips by moving onto them. In addition, there is a die which can be used to give each player one to six moves per turn instead of the standard one.&#10;&#10;Re-implements: Cheroli&#10;&#10;";1991;5.8875;0.0;2;6;45;8;Abstract Strategy
3297;Grabsch;"Themed on pre-historic cave paintings, this appears to be a set building game. Rules in German, English, French &amp; Italian.&#10;&#10;";1998;4.33333;1.0;2;4;20;6;Card Game, Prehistoric, Real-time
3298;Schleck und weg!!;"This game is intended for children Ages 4 and up.  In turn, each player rolls the die and pulls their bear to the ring on the board of the corresponding color.  The player hopes to pull other player's honey drops and playing pieces (bear) into the hole in the middle of the board.  Pulling another bear into the hole scores the player whose turn it was honey drops.  This is a simple roll and move game.  Not much here for adults, but kids will enjoy playing it.&#10;&#10;";2002;5.17826;1.0;3;6;10;4;Action / Dexterity, Children's Game
3299;In Dubio Pro Reo;"In Doubt For The Accused is a card game of guilt or innocence but has total German text on the cards.&#10;&#10;";1995;4.33333;0.0;4;8;30;12;Card Game
3300;Die Druiden;"Moon &amp; Sun Druids select a new leader by moving around the circles of stones. A mix of cards and dice and symbols.&#10;&#10;The Druids start from the Grove, in the centre of the Stone Circle. When a player begins his turn, he must move his druid, firstly, onto one of the 6 stones showing a Pentagram. This is the only space that may be moved to, from the centre area. The player throws both dice. At the beginning of the game each player has only one piece available (his Druid), therefore only one of the dice is used to determine movement. The second dice is unused until such time as the player has other game-pieces available for him to move. The meaning of the symbols on the dice dictate the type of movement allowed.&#10;The space on which a Druid lands also affects further events. After the player has carried out all necessary actions then his turn is over. If a Druid lands on a blank stone then his turn is immediately ended and play passes to the next player.&#10; Once a player has taken control of two or more pieces then he may apply the dice to their full potential. In this case a player can, for example, move two Spirits or one Spirit and one Druid. Naturally he will choose the optimum moves, considering the symbols on the stones and the location of other game pieces, which each piece can land on.&#10;The player with the most points, overall, wins the game and is proclaimed the new High-Druid.&#10;&#10;";1995;5.16786;2.0;2;5;45;10;Ancient, Fantasy
3301;Denkste!?;"Think!? A tri-fold board with a long track has players rolling dice to move and stack pieces to the finish.&#10;&#10;";1983;5.22;1.0;2;4;20;8;Abstract Strategy, Dice, Racing
3302;Machu Picchu;"A card-driven placement game. Four priests attract support to their temple from the Sun &amp; Moon. Each player is trying to maximize the value of 2 of the priests, revealing them at the end. Whichever has the highest combined score will win.&#10;&#10;";1998;5.135;1.5;2;4;40;12;Ancient, Religious
3303;Ostindien Company;"Unowned clipper ships race back to Europe with valuable exotic goods. Players have secret interests in various ships and play cards to move them.&#10;&#10;Not to be confused with Dan Glimne's Ostindiska kompaniet.&#10;&#10;";1996;5.08621;2.0;3;5;45;10;Bluffing, Nautical
3304;Im Rampenlicht;"In The Limelight, a card driven game in which different actors try to take center stage under the warm glow of the spotlights. The cards show the performers under 1,2 or 3 spotlights.&#10;&#10;";1994;4.25;0.0;2;6;30;12;Card Game
3305;Anticipation;"The goal is to capture enemy ants to get parts of the ant queen that are pictured on the bottom of the pieces. All ants are magnetic and if the piece that you try to capture repels from your piece that piece captures you instead.&#10;&#10;Move your 14 ants around on the dice roll, come back to your base and flip the pieces you have caught on your way. The base of your ants shows a part of the queen. Whoever gets the most parts of the queen's set, wins.&#10;&#10;";1987;5.77655;1.2;2;4;30;8;Animals
3306;Hack Attack;"Hack Attack is played with 12 plastic pieces in green, orange and purple. 6 of these pieces are cubes and 6 are pyramids. There are 12 board strips with green, orange and purple squares. The object of the game is to get one of each color (green, orange and purple) of your game pieces (one player is cubes and one player is pyramids) in a row (vertically or horizontally) on the matching colors of the board strips. The board strips are shuffled and dealt out 6 to each player. The first player lays one of their board strips and places one of their game pieces on one of the squares. Game pieces MUST be played on squares of the same color of the game piece. The next player may then either place one of their game pieces on the same board or lay down another board next to the first one long sides touching and places one of their game pieces on the board strip just played. After all 6 of a player's game pieces have been played, they may move any of their game pieces to a new position, either on a board that has already been placed or on a new board. After all of a player's board strips have been placed, they are limited to placing their game pieces on the boards already in play. So ...&#10;&#10;&#10;    You may ONLY play your pieces on a square that is the same color as that piece. (e.g. a purple piece can only be played on a purple square.)&#10;&#10;&#10;&#10;    You may only place your board strips LONG sides touching with all squares aligned.&#10;&#10;&#10;&#10;    If you lay a board strip down you MUST play a game piece on that board.&#10;&#10;&#10;&#10;    If you choose not to lay down a new board strip on your turn, you MUST play a game piece on an existing board strip.&#10;&#10;&#10;&#10;    The winning row of 3 game pieces may be all on 1 board or lengthwise over 3 boards, but it may not be diagonal.&#10;&#10;&#10;&#10;    Only one game piece may be played on each square.&#10;&#10;&#10;&#10;    You can ONLY move the position of your game pieces on the board after ALL of your pieces have been placed.&#10;&#10;&#10;This is a 2-player game for ages 10 and over.&#10;&#10;";2000;4.10067;1.4;2;2;10;10;Abstract Strategy, Deduction
3307;Wallenstein;"Historically, Albrecht von Wallenstein, duke of Friedland and Mecklenburg, was one of the most important mercenary commanders of the Imperial army during the Thirty Years' War (1618-48). His overweening ambition was to head a large central European empire, which got him dismissed in 1630. Such was his power, however, that the empire was forced to reinstate him when Sweden came into the fray. He recovered Bohemia, but was defeated by Gustavus Adolphus at L&uuml;tzen, and was again dismissed. His subsequent intrigues with Protestant forces alarmed the Catholic princes who were probably complicit in his assassination in 1634 by Irish mercenaries at Eger, Bohemia.&#10;&#10;The game begins with the start of the war, each player controlling several countries. Player actions include the conquest of new countries, tax collection, erection of buildings (i.e. development of the economy), feeding the populace, victualing the army, etc. Some actions increase the chance for unrest, and expensive rebellions can occur. The strongest power at the end wins.&#10;&#10;Employs the cube tower included in the publisher's previous game, Im Zeichen des Kreuzes.&#10;&#10;Re-implemented by:&#10;&#10;    Shogun&#10;    Wallenstein (Second Edition)&#10;&#10;&#10;";2002;7.45803;3.303;3;5;150;12;Economic, Pike and Shot, Territory Building, Wargame
3309;Air Cav;"Two player tactical level game simulating helicopter combat from 1975 through 1990. Units represent individual vehicles, helicopters and infantry squads. Each game turn represents 2 minutes and each hex represents 100 meters of actual terrain. Two maps included: One represents Middle Eastern terrain, and the other German. Forces represented include the United States, West Germany, Great Britain, Israel, the Soviet Union and Syria.&#10;&#10;";1985;5.95366;2.9;2;2;90;12;Aviation / Flight, Modern Warfare, Wargame
3310;Irono Ofubi;"A tricky game with colour, players use 30 round and 30 oval pieces, placed on a board showing faces/masks in a theatrical Japanese style.&#10;&#10;";1995;5.375;2.0;2;2;20;12;Abstract Strategy
3311;Challenge the Zodiac;"A Trival Pursuit style game with the object to increase your knowledge of the planetary system and obtain as many earth symbols as possible. Uses dice to establish movement  around the board of 44 spaces. Every space has instructions for the player to follow. If instructed to read a Planet card or a Sun card, the person on the right has first chance to answer, continuing around the board to the right (counter-clockwise). The first person with the correct answer receives the earth symbol. Recommended ages 10 and up.&#10;&#10;";1997;1.64286;4.0;2;6;45;0;Trivia
3312;1776: The Game of the American Revolutionary War;"1776 is a two-player, turn-based war game played on a hex grid map of the thirteen colonies and Canada.  It is primarily concerned with the military aspects of the American Revolutionary War. There is a basic game, various scenarios with advanced rules and a campaign game.&#10;&#10;Avalon Hill Complexity Rating - 7&#10;&#10;&#10;(from the back of the box:)&#10;&#10;The shot heard round the world at Lexington set off more than just another brushfire war in England's scattered dominions. It gave birth to a struggling new nation led by a comparative handful of patriots whose refusal to bow before tyranny set the tone for an American heritage preserved from defeat to this very day. But victory did not come cheap. &#10;After showing the British the color of their mettle at Bunker Hill, Washington's little army was plagued by one defeat after another, shunting from one battlefield to the next; always beaten but never destroyed. No power of the period believed that the upstart colonials and their unborn nation had the slightest chance of emerging victorious against the strongest military machine of the era after the dismal summer of 1776. But then came the cruelest winter of the decade when even nature seemed to join forces with the British against the tattered American troops. Undaunted, Washington led his small force in the historic crossing of the Delaware to twice surprise and rout British forces at Trenton and Princeton. Their resolve thus strengthened, the ill-clad Americans retired to Valley Forge to face winter beset by the hunger and deprivation that cost the lives of 2500 patriots. But the coming spring found Clinton facing a revitalized and strengthened rebel army which proceeded to chase him across New Jersey in the Monmouth Campaign. Reassured by news of the French alliance and the great American victory at Saratoga that fall, American troops dug in for what they knew would be a long and bitter battle for independence.&#10;&#10;6 Games in One Package - Each a Realistic Simulation of the War for Independence...&#10;&#10;1776, like all Avalon Hill games, is more than just the standard roll the dice and move game. It is a realistic simulation of the strategic situation faced by British and American alike in that fiery decade when the United States won its independence. &#10;Actually, 1776 is six games in one: a Basic Game that gets you quickly and easily into the routine of simulation gaming; an Advanced Game with scenarios that provides additional complexity and realism; and a Campaign Simulation Game that encompasses the entire war and balances successes in one region against failures in another - truly the ultimate in a simulation gaming experience! &#10;And if you don't have the time for a complete Campaign Game, there are four scenarios to choose from; each of which poses a challenge for everyone; from the most erudite of military historians to the fellow who just managed to pass American History:&#10;&#10;Scenario 1: The Invasion of Canada - 1775 to 1776 - Can YOU do better than the bumbling General Schuyler and Benedict Arnold in the vain American atttempt to make Canada a 14th colony?&#10;&#10;Scenario 2: The Saratoga Campaign - 1777 - Can YOU as General Horatio Gates surround and destroy the forces of the British General Burgoyne in this reinactment of the turning point of the Revolution?&#10;&#10;Scenario 3: Greene's Southern Campaignv - 1780 to 1781 - Can YOU as General Nathaniel Greene lead Cornwallis' tested regulars on a merry chase with your force of rag-tag militia and Guerilla bands without being crushed in a major engagement?&#10;&#10;Scenario 4: The Yorktown Campaign - 1781 - Can you duplicate Washington's encirclement and crushing defeat of Cornwallis in the battle that won the Revolution?&#10;&#10;Contents: &#10;&#10;     a 16&quot; x 44&quot; four-section, full color mapboard depicting colonial America from Quebec to Georgia; &#10;     two sets of die-cut troop counters representing over 400 units of Continentals, British Regulars, Rebel and Tory Militia, French Regulars, Indians, and naval units of the British and French fleets; &#10;     1 die; &#10;     1 Terrain Effects Chart; &#10;     2 sets (8 per set) of Tactical Combat Cards used in the innovative, new Sustained Combat system; 1 set of scenario, CRT, and play chart cards organized on an index-card format that puts a summary of all levels of the game at your fingertips; &#10;     a 32-page Rules &amp; Designers' Notes Manual telling you how to play all 6 game versions plus the inside story on research and development and why the game was designed the way it was.&#10;&#10;&#10;Rated &quot;Tournament Level&quot; on Avalon Hill's Simulation-complexity scale.&#10;&#10;";1974;6.53362;3.0987;2;2;120;12;Age of Reason, American Indian Wars, American Revolutionary War, Wargame
3313;Traverse;"Traverse is played on a square &quot;checker&quot; game board with a 12 1/2&quot; x 12 1/2&quot; grid. Each player chooses one color of playing pieces. Each player has eight pieces of the same color: 2 squares, 2 diamonds, 2 triangles, and 2 circles. Each player arranges their pieces in ANY ORDER within their starting row. The object of the game is to get ALL of your pieces into the starting row of the player sitting opposite of you. The pieces move in different directions depending upon the shape:&#10;&#10;    Squares can move horizontally and vertically. &#10;    Diamonds can move only diagonally. &#10;    Triangles can move forward on the diagonals or straight backwards. &#10;    Circles can move in any direction. &#10;&#10;&#10;Players take turns moving one piece each turn. Two pieces can not occupy the same space. Pieces can move in single space moves, one space at a time and only into an empty adjacent space as dictated by the piece's legal moves. Players can jump over their own or another player's piece. Jumped pieces are NOT captured, akin to Chinese Checkers. Players can string together a series of jumps if each individual jump in the series conforms to the rules governing single jumps. The first player to move all of their pieces into the destination row is the winner. Players can not force a draw.&#10;&#10;Listed on &quot;GAMES 100&quot; GAMES Magazine&#10;1992 Mensa Select&#10;&#10;2-4 players ages 7 to adult&#10;&#10;";1987;5.99966;1.9688;2;4;30;7;Abstract Strategy
3314;Lügenbeutel;"Sack of Lies, a card game for liars, the box cover shows a wolf, fox, vulture and cobra competing for the pot! You must clear your hand of 10 cards, by placing successive cards face down on the deck, bluffing as necessary. So the deck is started by a player laying 1s, the next player lays 2s, one by one and so on. At some point, your bluff is called. If you were false, draw more cards. If you were true, your opponent draws. There are action cards, including a sack of lies which has no value and so you must lie when playing it.&#10;&#10;Playing Scheinheilig your goal is to get rid of the cards in your hand.&#10;In total, there are 70 cards numbered evenly from 1 to 10, 26 Angels (Jokers), 8 Devils (don&acute;t want those) and 8 &quot;skip a turn&quot;-cards. Every player starts the game with 10 cards and play proceeds clockwise.&#10;The youngest player starts and has to discard cards with the number &quot;1&quot; face down. At least he has to pretend to discarded 1&acute;s. A player can put down any number of cards. The next player can then either accept whatever was just discarded and discard 2&acute;s on his own or he can question one of the cards just discarded and turn it face up. If he was right and card does not show the correct number, the player who tried to discard a wrong card has to take back the questioned card and all cards on top of it. On top of that he has to roll the die and draw that many cards from the deck. If the questioned card had the correct number, the questioning player has to roll the die and draw that many cards. Angels are always considered the correct number, Devils never. Whenever it is your turn, you can also just draw a card and end your turn. Whoever gets rid of all cards first, wins.&#10;&#10;";1978;5.37741;1.3333;2;8;30;8;Bluffing, Card Game
3315;Die LeuchtturmArchitekten;"A card driven placement game for Lighthouse Architects. Discs in black, white and red are moved to construct stacks matching the color bars off the lighthouses on the cards.&#10;&#10;3rd Place 1993 Hippodice Spieleautorenwettbewerb.&#10;&#10;";1995;4.89286;0.0;2;4;30;0;Card Game
3316;Prussia's Glory: The Battles of Frederick the Great;"Four battles featuring Frederick the Great in the Seven Years War: Rossbach, Leuthen, Zorndorf and Torgau. Short Battle Scenarios use the historical deployments, while Main Scenarios allow alternate history. Simple turn sequence, low unit counts. Mechanisms include CRT, Zone of Control. Rules emphasize the role of artillery, with a wide variety of ordnance.&#10;&#10;TIME SCALE  One hour per turn  &#10;MAP SCALE  500 yards per hex  &#10;UNIT SCALE  Brigade level with some Regiments and Battalions&#10;&#10;Contents:&#10;704 5/8&quot; full-color die-cut counters &#10;Two 22&quot;x34&quot; full-color back-printed mapsheets  &#10;32-page Rulebook &#10;2 11x17&quot; Player Aid Cards &#10;2 6-sided dice&#10;&#10;DEVELOPERS Joshua Buergel, Dick Vohlers, Andy Lewis &#10;MAP ART Mark Simonitch &#10;COUNTER ART Mark Simonitch and Rodger B. MacGowan&#10;&#10;";2002;6.74742;2.8214;1;2;180;12;Age of Reason, Wargame
3317;Royal Hearts;"Hearts variant where each of the Queens play a role in the final scoring: the Queen of Hearts doubles the points for hearts collected; the Queen of Spades counts 26; the Queen of Clubs negates the Queen of Spades; the Queen of Diamonds counts -10.&#10;&#10;";2001;6.52105;1.625;2;6;30;0;Card Game
3318;Heave Ho!;"Two Scottish players participate in a classic tug-of-war, joined on occasion by Nessie.  Players first scramble to build their decks in real time.  After the decks have been built, card play goes back and forth until someone pulls the whisky barrel across their line and claims it. First one to win three whisky barrels wins the game.&#10;&#10;Heave Ho! is part of the Kosmos two-player series.&#10;&#10;";2002;6.25474;1.2841;2;2;45;10;Card Game, Real-time
3319;Neutreeko;"Pieces move by sliding orthogonally or diagonally until blocked by the edge of the board (5x5) or another piece.&#10;The object of the game is to arrange your pieces in a line of three either orthogonally or diagonally.&#10;&#10;";2001;5.2304;1.75;2;2;10;0;Abstract Strategy, Print & Play
3320;The Game of Life: A Jedi's Path;"Jedi Knight or Sith Lord? Awesome warrior or mystical thinker? These are the choices players face in GAME OF LIFE: A JEDI'S PATH. As players move their aspiring Jedi around the board (passing tests, doing battle, learning lessons, going on missions, and building their light-sabers), they build their connection to the Force in four ways - Logic, Intuition, Fighting, and Energy. Along the way, players can choose the Jedi path or the riskier/quicker &quot;Dark Path.&quot; But be careful, once you go down the dark side, there may not be redemption for you. At the end of the game, the mightiest Jedi and the darkest Sith square off to determine the most powerful Force-user in the Galaxy.&#10;&#10;";2002;5.32486;1.3611;2;4;60;9;Movies / TV / Radio theme, Science Fiction
3321;Die Pyramiden des Jaguar;"Players build a pyramid using 40 numbered cards, taking care to construct the pyramid with the lowest value card at the bottom left, and the highest at the top. This is done by each player, in turn, offering two cards from their hand. The opposing player takes one of the two for his/her pyramid, leaving the other for the first player to put on their pyramid. Cards already on a pyramid can be covered once (after that they are covered by a jaguar stone), an action that triggers movement along the jungle path (scoring track). Certain steps on the path also contain events that can alter construction of the pyramids. The person who completes their pyramid first gets extra steps along the path. The round ends when a player has completed his pyramid, has only one or zero cards left in hand or when either player cannot legally play a card. After each round the top card of the draw deck is revealed - if the number on the card is lower than the position of the explorer that won the last round than that explorer has won, if not another round is played.&#10;&#10;Die Pyramiden des Jaguar is part of the Kosmos two-player series.&#10;&#10;";2002;6.07691;1.7327;2;2;45;10;Card Game
3322;Soccerboss;"Soccerboss is a game of chance and skill. Each player becomes the manager of a football team, responsible for the running of the team, the strength of the team, and its selection, finances and transfers.&#10;&#10;The plastic players come in the colors yellow, red, and blue in descending order of ability. Managers start with a random assortment in their teams and reserves, but may trade with other managers.&#10;&#10;Matches are played by counting the different colors on each team to determine which of five colored levels it is at, with each level corresponding to a spinner. The spinners determine the goals scored. Managers also draw home and away cards before the match which may help or hinder. The home manager collects gate proceeds, and also rent from the visiting team if they build a stand (which is controlled by the cards).&#10;&#10;The leaping player in the white shirt of Leeds United is Billy Bremner (9 December 1942 &ndash; 7 December 1997).&#10;&#10;";1969;5.18182;1.0;2;8;120;10;Sports
3323;Slapstick;"Slapstick! is a game in which players move their pieces around a board in an attempt to simulate the slapstick comedies of 1930s Hollywood.  The game represents these events, e.g. slipping on banana skins, encountering crazy gorillas, pie fights, etc., in the form of cards.&#10;&#10;Each player starts from a corner of the board (which is divided into rooms) and with 2 cards of each type of comedic act in his or her hand.  Going in turns, they roll a die to move their tokens and attempt to get rid of their cards.  Certain acts, such as those for pie fights, can be passed to players whose tokens are within range.  Others can only be passed to players whose tokens are in the same room or are laid down as traps (a player whose token passes over them has to pick them up).  The player who empties his or her hand of cards wins the game.&#10;&#10;";1975;5.0;0.0;2;4;30;0;Children's Game, Movies / TV / Radio theme
3324;Railroader;"A race, in the wild west, to pioneer the first railroad from Junction City to Buffalo Creek - using scale model rails and trains.&#10;All the thrills and spills of the romantic west plus a continuing struggle to sabotage each others track !&#10;&#10;";1963;5.33256;1.4783;2;4;60;8;American West, Children's Game, Racing, Trains
3325;Chartbuster;"Chartbuster introduces the players into the exciting and glamorous world of pop. Records are promoted by performances at London theaters and clubs and perhaps on television until they are eventually launched onto the hit parade and top 20. The first player to sell one million records is the winner.&#10;&#10;";1970;6.77976;1.6667;2;6;120;0;Music
3326;Frag: Fire Zone;"Fire Zone thrusts Frag players into two deadly new arenas, where massive pools of boiling lava are as dangerous as the other players. This expansion also features new rules like rocket jumps, knock back effects from weapons, and jump pads.&#10;&#10;";2002;6.24648;1.8571;2;6;45;12;Expansion for Base-game, Fighting, Science Fiction, Video Game Theme
3327;The Scotch Whisky Game;"The object is to become Scotland's most powerful Whisky baron, by producing the country's most prestigious brands. Players vie for control of Scotland's leading blended, deluxe, and malt whisky, answer questions on Scottish history, myth, and culture, and attempt to avoid the numerous hazards of the whisky industry.&#10;&#10;";1988;5.0;0.0;2;6;90;16;Card Game, Economic, Trivia
3329;Hans Dampf;"This is a steam engine race for up eight players. The board has a spiral shaped track leading to the middle, then back to the edge. Each player receives an engine. The active player rolls a die (numbered 3,4,5,5,6,6) and moves the corresponding number of fields forward in a straight line. The engine may be turned by 90 degrees at the end of the move. If s/he doesn't want to use up all the die's points, s/he can decide to go slower. For that, s/he gets the difference in coal coins, but must distribute them in any way among the other players (who may beg, bribe or threaten the active player). Passing another engine costs one coal, passing an engine going in the opposite direction (with more than four players, the starting positions are on both ends of the track) costs 2 coals, and getting rid of an obstacle piece and placing it anywhere else on the track costs 4 coals. &#10;For crossing the finish lines, the players may pay any number of coals and add that number to their final die roll; they can also do one turn within their turn - but only if they can actually cross the line. The first player to do so, wins. In case of a tie, the remaining coal is the tiebreaker.&#10;&#10;";1989;4.94286;1.3333;4;8;30;10;Racing, Trains
3330;Peloton;"Much praised cycle racing sim from innovative Czech game company. The wrapper unfolds to be the game board showing a street race course. The game has advertising from cycle shops. Rules in Czech and German.&#10;&#10;";1991;7.05128;2.4;1;12;30;10;Racing, Sports
3331;Die Perlen der Scheherazade;"The object of the game is to bring pearls to Scheherazade. An Arabian Nights themed game.&#10;&#10;At the beginning of the game, every player receives a secret color card. The color of the secret card designates the color of the harem's room to be reached. Each round is divided in two phases. The first phase determines who can move, in the second phase, 1 camel and the bedouins are moved.&#10;&#10;Phase 1: Buying the right to move.&#10;The players do not move one after the other, but must buy the right to move every time. In order to buy the right to move in Phase 2, the players make bids in secret by taking any number of pearls into their hands.&#10;&#10;Phase 2: Moving the caravan&#10;The caravan leader must move a camel and may move all of the bedouins belonging to that camel. He may move bedouins of all colors. Bedouins and camels can only move forwards. The caravan leader alone decides, which bedouins he takes along or leaves behind.&#10;&#10;The winner is the player who is first to place a bedouin of his color into the correct harem's room and can give Scheherazade 3 pearls.&#10;&#10;";1992;5.71429;0.0;3;6;60;10;Arabian, Racing
3332;Karmas;"Karmas is a game in which players roll dice to outscore each other.  Each die has its &quot;1&quot; face replaced with a letter, spelling K-A-R-M-A-S when all those faces are rolled.  Players take turns to roll the dice.  Various points are scored for different combinations of letters and pips rolled.  The highest points are gained for rolling all letters, essentially spelling the title of the game.  After a certain number of rounds, the game ends and the player with the highest score wins.&#10;&#10;";1992;6.0;0.0;1;100;30;9;Dice
3334;Illegal;"An ironic card game themed on making as much cash any way possible. The box has text in German, English &amp; French, but only contained rules in German.&#10;&#10;";2000;4.30556;1.3333;2;6;30;10;Card Game
3335;Ganoven Jagd;"Ganoven Jagd ('Crook Hunt') has each player controlling 6 police officers and one robber. Your officers are trying to bring to justice the opponent's crook, whilst your fugitive is trying to elude the  hunt. Although themed, this is really an abstract movement game with black and white pieces roving the squared grid.&#10;&#10;";1983;6.01364;1.8333;2;2;20;8;Abstract Strategy, Bluffing
3336;Hol's der Teufel;"All 38 cards are shuffled upside-down and evenly dealt to the players. Every player gets a total chip&#10;value of '20'.&#10;&#10;Each player must play one card when it is their turn. The starting player begins and plays one of his Devil cards onto the table. Then its the next players turn. The starting player must play a Devil card in one of the colors of the cards in the hand of the player to his left. The colors of the cards in each players hand are visible on the backs of the various cards. The player, whose turn it is, now has 4 possible alternatives for playing a card from his hand.&#10;- He can play a Devil card with the same value as a 'free card', whose color is not yet represented on the table, face up. The player thusly starts a new row. This play costs the player no chips.&#10;- He can play a card with a higher value in an already started color row at the top or bottom end of that started color&rsquo;s row. This play costs the player no chips. &#10;- He can play a card with a lower value in an already started color row at the top or bottom end of that started color&rsquo;s row. This play costs the player the difference between the value of the card he is playing and the card onto which he is playing it, in chips. The player pays this value in chips to the player to his right.&#10;- He can play an Angel card onto the free end of any row in which there is no Angel card played so far. This play costs the player no chips.&#10;&#10;The game ends when the dealer plays his last card. Since the dealer is last in the round, the dealer is always the one to play the last card. Whomever has the most chips at this point, is the winner if this heavenly hand.&#10;&#10;";1996;4.70056;1.0;3;5;20;8;Card Game
3337;Double Down;"Double Down, first released as Lobo 77, is a simple game of playing cards to add to (or subtract from) a running total. Players must try to avoid creating a total which is a multiple of 11, or taking the total over 77. Chips, given out at the start of the game, are lost as players fail to keep to these rules. The last player with chips remaining wins.&#10;&#10;";1993;5.62373;1.0541;2;8;30;8;Card Game
3338;Nimm's Leich!;"Using German puns for 'bodies', players must bluff and gamble on the number of certain bodies appearing on the cards. You may play Body Inspector chips to examine opponent's hands.&#10;&#10;Part of the Goldsieber &#195;&#160; la Carte line of games.&#10;&#10;";1997;5.84583;1.0;3;6;20;10;Bluffing, Card Game
